name,ratings,date,helpful,comment,developer_comment
체르니CHERNY,2,2021-04-24,3,광고보니 폰케이스 싸고 이쁜 케이스 많길래 깔아보았더니 예쁜 케이스는 많은데 가격이 3690원 이라고 써있길래 얼씨구나하고 사려고 보니 세상에나 12600원 이네요ㅠㅠ너무속상합니다 거기에63퍼센트 할인 이라고 써있어서 좋아했는데 아이가 속상해 합니다.....,
게임,2,2021-05-07,2,싸고 예뻐보이는 옷들이 많긴 한데 솔직히 말해서 한 계절?도 못 입는 옷들이에요 오래 입을 옷들 살거면 다른데서 좀 더 돈 주고 좋은 옷 사는걸 추천해요ㅠㅠㅠ,
스엠 기죽지마 그냥죽어,2,2021-06-28,1,"다 조은데,,, 카드 등록으로 체크카드 구매도 가능하게 해주심 안될까요ㅠ 학생이라 맨날 부모님께 부탁하기 눈치보이기도 하고..",
임시계정,2,2021-07-01,0,뭐임;; 에이블리 등급 브알피플ㄹ러슨데 뭐?ㅋㅋㅋㅋ 6만원 결제해야 한다고여..? 저번에는 51만원이라메요. 버그인가 싶어 지우고 다시 로그인하고 업뎃도 했는데 안돼요 좀 고쳐주세요 ㅈㅂ,
김별이,2,2021-06-04,28,"배송이 너무 느리네요 2주일 만에 오고, 먼지도 묻어나오네요. 비추합니다. 역대 최상 별로인 앱 앱도 정말 안 들어가지고 진심,화났습니다. 개발 좀 하세요.",
김병호,2,2021-04-20,5,지금까지 23건구매중에 배송이 조금느린정도가아닌 잊어먹고 있어야되는게 몇건되고 배송오류로 안오는거도있었는데 문의넣으니 늦게라도 해결은되었습니다.애들이 주문해달래서 사용은하는데 배송지연이 너무많은거 같아 아쉽네요,
Chuny,2,2021-04-15,3,어제부터 계속 인터넷 접속이 불안정하다고 뜨고 들어가지지 않네요..주문한 제품도 있는데.. 어서 조치를 취해주세요ㅠㅠ,
문찬희,2,2021-05-24,5,상세치수를 기재안해놓는 쇼핑몰이 있어 불편해요! 그리고 찜할때 카테고리 설정여부는 선택할 수 있으면 좋겠어요. 마지막으로 장바구니 품절상품 삭제기능이 있으면 좋겠습니다,
이언니,2,2021-04-21,1,두번 주문 후 다 반품하고 앱삭제합니다. 단독 온라인샵들보다 너무 질낮고 디자인별로인 옷들이 섞여있다는 느낌이 강하네요.,
함정원,2,2021-05-09,1,너무 예쁘고 좋은제품들이 많은데 제가 몇일전에 취소를했는데 완료라면서 몇일이 지나도 돈이 안들어오네요 얼른 다시 돈 돌려주세요,
펭수팬,2,2021-05-09,0,전 상품 무료 배송이라길래 구매하려 보니 제주여서 그런지 물건 하나하나 마다 3천원씩 붙어서 배송비만 만 5천원이네요.ㅋㅋ이정도면 제주도 사는게 잘못인건가..ㅋㅋ,
jueun kim,2,2021-04-20,2,잘쓰고있는데 몇일전부터 인터넷이 불안정하다고뜨고 작동이안됩니다 ㅠ 업데이트도햇는데 이거와이러나요 딴건 다 잘됩니다 ㅠ,
김시아,2,2021-05-25,5,옷이랑 다 이쁘고 좋은데 거의 2달정도까지 취소진행이어서 문의를 했더니 매장에는 취소를 했는데 에이블리 쪽에서는 아직도 취소 진행이고 제 돈을 꿀꺽한것 같아서 기분이 별로내요,
ZERO ˇ,2,2021-06-04,22,배송이 너무 느려요.... 산지 일주일이 넘었는데 배송중도 아니고 졸사 찍을때 입으려고 한건데 졸사 찍기 하루 전까지도 안 와서 결국 환불하고 딴데가서 옷 샀습니다 아무리그래도 배송중인데 일주일 넘은거면 참을 수 있어도 배송중도 아닌데 일주일동안 소식이 없는건 너무라다고 생각하네요,
람이마미,2,2021-05-13,3,지그재그에 비해서 사용이 불편함. New메뉴는 신상만 따로볼수있게 만들어놓은게아닌가 근데 다뜸. 업뎃왜했는지 모르겠음,
ENFJ,2,2021-05-04,1,리뷰포인트를 너무 늦게 지급해줘요... 24시간 이내라고 써놓아놓고선 5월 3일에 리뷰 여러개 다 썼는데 5월 5일에 포인트 지급한다고...; 24시간 이내라고 써놓질 말던가,
뚜비두밥,2,2021-04-12,2,스토어 차단이나 안보이게 설정하는 기눙 추가해주세요 너무너무 필요합니다ㅠㅠㅜ또 스토어 별점줄 수 있도록 평가방식도 도입해주세요,
이팡팡,2,2021-05-15,5,상점이 이렇게나 많은데 도시적이고 멋있는 스타일은 하나도 없다. 다 비슷비슷한 파스텔톤 여리 헐렁 스타일..,
조보현,2,2021-05-19,1,문의 했는데 답장도 안 오고 몇칠이 지났는데 계속 상품 준비라고 계속 떠요. 그리고 배송지 잘못 입력 해서 문의 했는데 답장이 안오네요.,
하위,2,2021-05-02,2,배송이 너무 늦게 옵니다. 2주 전에 시켰는데 아직도 상품 준비중이라 하고 상품이 오지 않았어요.,
허수빈,2,2021-05-26,0,아니 우편번호 누르면 초기화돼서 사지도 못하고 있는데 뭐하시는거죠? 뭐10년에 한번 점검하시나요?,
정슬아,2,2021-05-01,0,쿠폰 사용이 30분 남아서 사용하려는데 왜 하필 이때 결제가 안되는거죠?,
윤소정,2,2021-05-16,1,모델핏이랑 실제옷이 너무 다른곳이 많아요.. 뽀샵떡칠 후줄근합니다,
서유,2,2021-05-21,0,물건을 시켰는데 계속 며칠지연돼고 한참기다려야돼고 그리고 이상한게 떠요,
김우짤,2,2021-05-09,0,번호인증 누르면 자꾸 실패했다고 떠서 가입을 할 수가 없어요 ㅠㅠ,
임주희,2,2021-04-09,15,티비랑 이곳저곳에서 광고는 엄청 나오는데 왜 사이트접속이 안되는건가요? 지금 거의 2주 다되어가는거같은데 개선을 해주셔야 구매를 하던가 하죠... 광고만때리면 어떡하나요..3월부터 지금까지 계속그래서 포인트가 얼마남아잇는지도 확인도 안되고 주문하고싶은것도 할인을 아직까지 하는지도 확인안되서 답답합니다,
박여진,2,2021-04-27,0,에이블리 특 : 불량품 문의에 답장 절대안함,
지아,2,2021-02-21,52,검색어만 나올수있게 개선 좀 해주세요ㅠㅠ후드티를 검색하면 후드티만 나오는게아니고 니트며 속옷이며 별의별거 다나옵니다...자주 사용하고싶어도 찾기도 힘들어서 자주사용하지 못해요...그리고 어떤 마켓들은 10000원이라고 올려놓고 14000원 이런식으로 파는곳도 있더라구요...그래서 리뷰도 꼼꼼히 보게 되는 편입니다.,
ヅ밥버거,2,2021-05-19,0,이벤트 한 번도 걸린적 없는 사람입니다 꽝 볼 때마다 속상하네요,
얘은,2,2021-02-15,26,많은 제품이 있고 필터도 있어서 원하는 물건을 찾기 쉬워요. 근데 섬유향수 반품하고 반지는 주문하고 입금도 했는데 반지는 주문확인도 안 돼고 섬유향수는 아직까지도 환불이 되질 않아서요. 에이블리 고객문의 번호에 전화를 했는데 상담원이 안 받는건 무슨 경우죠?,
혜민,2,2021-02-26,5,옷들은 배송 잘 받았는데 첫 포토리뷰쓰면 1000원의 적립금을 준다길래 정성들여 썼는데 몇시간이 지나도 적립이 안되네요;; 구매확정한건 포인트가 바로 들어오는데 지금 리뷰 2개 작성한건 둘 다 안들어와요....,
빙구,2,2021-03-14,2,3월 9일에 시켜서 기다렸는데 11일에 품절이 되었다고 문자가 왔어요 근데 지금까지 돈과 포인트가 들어오질 않네요 ㅠㅠ 원래 느린건가요 ? 빨리 사야하는데 돈과 포인트는 다시 들어오지도 않고 ;;,
박연정,2,2021-03-25,31,"옷은 이쁜데요, 서비스나 주문 등 이런 면에선 너무 별로예요. 월요일에 입금했는데 주문 폭주로 지연되서 다음 주 화요일에 재고가 들어와서 또 몇일 뒤에 옷 받았어요. 제가 옷이 급해서 최대로 가능한 빠르게 당일 아니면 내일 입금을 한건데, 제가 급한 거에 비해서 옷이 너무 느려요. 물론 주문 폭주때문에 지연이 된건 어쩔 수 없지만 그래도 전 1주일 하고 하루 전에 급해서 입금을 했는데 주문 폭주라는 이유로 지연이라니..ㅋㅋ",
๑김다은 ́๑,2,2021-03-05,21,리뷰올릴때 사진첨부도 잘 안되고 리뷰수정도안됨. 그리고 물건보려고 들어가면 그냥 흰화면만 뜨는 현상이 자꾸생김 그리고 알고리즘...진짜 뭐하나 봤다하면 그거만 주구장창 띄워주고. 개빡침 뭐 딴걸 볼려해도 자꾸 똑같은거만뜨고 그리고 리뷰사진 자꾸 잘림,
류재훈,2,2021-02-15,0,솔직히 좋긴 좋아요...이쁜것도 많고 싸게 살 수 있어서 좋긴한데 제가 같은 곳에서 같은 지갑을 하나 사려고 하다가 환불사유를 단순변심으류 입금을 안하고 같은 지갑사려고 11000을 입금까지 했는데 갑자기 먹튀를 하네요; 사장분깨서 착각이 있으신거 같은데 좀 잘보고 해주세요....900원을 주시는게 어딨으세요 그리고 저기 900원은 심지어 포인트에요...;;^포인트 값만 받고 제 돈은 그대로 가져가시네요..너무 실망입니다,
쮸빠삐무녜뇨,2,2021-05-26,0,147이상인 사람은 쇼핑을 하라고 하는건지 모르겠음 147봐도봐도 1개밖에 안나오고 160정도 가야 100몇개 나오네요;,
ฅ주잇,2,2021-05-29,0,다른 건 다 좋은데 서비스같은 면에서는 별로 좋지 않은 것 같아요...,
김지원,2,2021-02-22,0,기본적인 색상들만 제대로 오고 아이보리를 시켰는데 포장을 뜯으니 반품관련 종이도 없고 택도 없고 노란색이와서 반품신청을 했더니 택이 없어서 환불이 안된다는데 어이가없습니다,
ᄋᄀᄋ,2,2021-01-25,1,에이블리만 썼는데 실망이네요.. 무통장입금했는데 입금확인은 뜨질 않고 고객센터는 토요일이라 전화안받고 문의도 보질않으시네요 결국 자동취소됐어요..☹,
Edrina L,2,2021-04-08,1,에이블리 앱만 접속이 안됩니다 ㅠ 꽤 문제가 오래가고 있는데 해결이 너무 늦네요,
김규빈,2,2021-02-17,0,다른건 다 좋은데 문의를 해도 보지를 않으시고 카톡도 읽지를 않네요. 전화는 할 때마다 상담원이 다 전화 중이라 하고요. 어떻게 해야되는건지 모르겠네요.,
구냥구냥그렇다궁,2,2021-02-17,0,오류가 너무 많아요 입금하고 1일 지났는데 결제 완료 처리가 안되고 취소됐다가 그제서야 결제됐다고 뜨네요 덕분에 배송도 늦어졌어요,
한지혜,2,2021-02-11,3,에이블리 가격 규제좀 해주시면 안되나요... 분명히 7000원이라고 나와있었던게 막상 결제창 가니까 만원 훌쩍 넘고 이게뭐하는건지 싶어요. 가격으로 사기치면 가격필터 쓰는이유가 없잖아요ㅠㅠㅜ,
김자영,2,2021-02-11,45,글씨가 자꾸 겹쳐서 보이는데 어떻게 빨리 해결좀 해주세요. 쇼핑몰이라 글을 읽는것도 중요한데 글씨가 겹쳐보이면 어쩌자는거죠. 문의를 넣으면 하루는 그냥 건너뛰어버리고요. 기다리는 사람들은 생각을 안하시나 보죠? 빠른시일내 처리부탁드립니다.,
하정,2,2021-04-20,0,옷을 사도 등급 점수가 그대로인데 왜 이런거죠?..,
몰라,2,2021-04-03,0,"옷은 이쁘고 무료배송도 좋은데 포인트 있는 거 조금씩 말고 다 쓸 수 있게 해주세요,,그것만 바뀌면 별5점입니당..",
09서영,2,2021-02-09,1,검색에서 반팔티셔트라고 검색했는데 겨울옷이 나오네요.다 긴팔이고요.검색해도 검색한게 아닌 다른게 나오니까 좀 짜증이 나요.,
이영인,2,2021-02-14,0,내가 사고 싶은 상품들만 바로바로 찾아보기 위해서 이 앱을 설치한건데 검색결과에는 내가 검색한 것과 전혀 상관없는 상품들이 나오는 바람에 찾는 시간이 더 걸리네요;;,
조혜림,2,2021-02-14,0,상품목록 중에 품절된 상품은 빼주세요 번잡하고 리뷰도 본인의 신체사이즈와 같은 분의 리뷰 골라볼 수 있게 해주세요,
김하윤,2,2021-03-17,0,"분명 케이스를 샀는데 거기서 하루가 91%, 이틀이 9%였는데 아직도 집하도 안됐는데 배송중이라고 뜨네요 이거 다거짓이네요",
_,2,2021-02-03,2,다좋은디 왜 에이블리만 켜면 네트워크가 불안정하다는지....와이파이 잘돼는데 에이블리 혼자만 연결안된다고 말썽이네요..,
누피,2,2021-02-21,0,좋은데 사진리뷰 관리 좀 해주세요.. 제품 보러들어가면 제품사진은없고 제품이랑 관련없는 사진들만 있네요,
태횽이는 곰돌곰돈해,2,2021-04-04,3,다 좋긴 한데 폰케이스에서 삼성이 별로 없어서 아이폰만 너무 많아서 좀 그러네요 ;;,
하루씌,2,2021-03-06,1,1 아이폰만 밀어줌 2저작권문제가 있는지 3몇개이상 구매 4에이블리와 맞지않는 물품 5완구의 터무니 없는 가격,
이상환,2,2021-02-10,0,"지난번에 소프라이즈 기대해 라는 깜짝쿠폰을 2월 9일에 일괄 지급한다 했는데, 하루가 넘은 지금까지도 왜 안들어 오는거죠? 빨리 지급해주시면 좋겠네요.",
흑서랑,2,2021-01-22,0,다 좋은데 제 폰이 많이 없는 기종이거든요? 근데 에이블리에는 제 폰기종인 케이스가 아예 없네요;;,
모카,2,2021-03-20,0,앱이좋긴하지만 제 폰 폰케이스는없어요ㅜㅠ 항상 다른어플도 해보는데 진짜삼성J4+핸드폰케이스 좀 부탁드려요요ㅠㅠ제발요ㅜㅠ,
빈빈,2,2021-03-15,0,서버 불안정하다고 무한로딩만 뜰때가 너무 많아요. 제발.....,
mila,2,2021-03-10,0,제품을 보려고 해도 앱이 계속 꺼져서 볼수가없음.. 필통 하나 사려고 했는댕..,
yun,2,2021-02-06,0,샤샷ㅇ양ㄹ샤령ㅇ 왜 리뷰쓰면 포인트 준다면서 안줘요 그리고 구매확정해도 준다며요 ㅠㅠㅠ ㅠ 안!!!! 줌!!!!!!!,
RYB :-P,2,2021-02-18,0,음...쿠폰도 한번에 1개밖에 못쓰고 포인트도 상품가격에 10%밖에 못씀...,
찐이,2,2021-05-29,0,키르시 5000원 쿠폰을 쓰려고 했는데 쿠폰을 사용할수 없데요 이럴꺼면 쿠폰을 왜준거죠??좀 어이없네요,
MI JANG,2,2021-04-06,0,몇몇 업체 빼고는 배송이 너무 느려요...,
jin8 ye,2,2021-05-09,0,아니!이거 야골리는건가여? 제가 투표할때마다 왜 아쉽게 안됀다구 하나여?,
이유빈,2,2021-05-04,0,주문내역이 영 먹통이네요,
꼬북좌,2,2021-01-31,0,첫할인좋긴한데 할인해주는척낚시하지않기바람,
최윤미,2,2021-03-21,0,좋지만 배송 기간이 길어요ㅠㅠㅠㅠ,
수연Suyun,2,2021-02-03,0,아니 무슨 이벤트를 하려면 제대로 하세요 제발 이벤트 하려고 했는데 안되잖아요 사람 짜증나 이벤트 날짜좀 제대로 알려주세요.!!,
공쥬,2,2021-02-19,0,배송이 느려요 그레서 짜증나요,
츄러스,2,2021-05-11,1,모래사장에서 잃어버린 반지 찾는 것 같은 앱. 분명 키워드가 포함됐는데도 검색하연 안 나오는 경우 많음. 그리고 이 앱만큼 사람 짜증나게 쿠폰 주는 앱 없음ㅋㅋ 맨날 쿠폰을 2만원 이상부터 쓸 수 있게 지급함. 진짜 가끔 가다가 쓸만한 거 하나 줌. 한 번에 그런 금액 결제하기 부담되는 사람들은 그냥 이 앱 쓰지말라는 거 같음. 5만원인가 그 정도이상 썼다고 등급 올려줬던데 등급 올라왔다고 주는 것조차 3만원 이상부터 사용가능한 1000원 쿠폰ㅋㅋㅋ 내가 고작 1000원 할인 받으려고 3만원을 써야합니까? 경제적 부담이 있는 사람들은 정말 고령안한 앱. 그리고 가격 뻥튀기 너무 심함. 요즘 유행한다는 만두 말랑이도 문구점에서 2~3000원에 팔던데 여긴 최소 5500원 무료배송으로 광고 엄청 하던데 무료배송인만큼 가격뻥튀기 겁나 심함. 그리고 옷 여기서 사지마셈. 랜덤 오짐. 그래도 가끔 살만한 거 있긴 하니까 별 하나 추가함.,
김채원,2,2021-01-21,3,"음..좋아요 옷도 이쁘고 무료배송이고..근데 검색창에 찾고싶은 단어를 검색하면 검색한것 외에도 떠서 찾기가 힘들어요.. 찾으려하는것보다 그 외에 것이 더 많이떠서..이럴거면 검색창을 왜 만들었나..하네요.(ex.""버즈케이스""라고 검색-에어팟 케이스나 에어팟 철가루 방지 스티커가 더 많이 뜸..)꼭 개선해주세요..",
Bo Bo,2,2021-06-22,0,주문취소 과정이 매우 불편. 문의를 통해서만 가능.. 포인트도 늦게 들어옴..,
수연,2,2021-06-18,0,태극기를 좋아하는데 태극기 옷이 없다는거에 실망을 좀 했네요.. 키링 말고 티셔츠 점퍼 등 많이 있으면 좋겠네요,
정유진,2,2021-01-25,4,에이블이 잘 쓰고 있는데 개선 해야할 점이 한두개가 아니네요 제가 정리해드릴테니 읽어보시고 개선하셔야지 앱사용자가 더 늘어날겁니다 제발 좀 개선해주세요 1. 택배비 무료는 무슨 무료입니까 모든 곳이 그런것은 아니지만 택배비가 무료라 하면서 실제로 비교 해보면 (원래가격+배송비) 합쳐 놓은 것이면거 배송비 무료라는 것은 너무 소비자를 기만한 행위 아닙니까? 2. 에이블리 제품 가격 명시 몇몇 다수의 마켓에서 제품 가격을 명시 할때 예를 들자면 10000원짜리를 95%할인! 을 적용해 500원에 판매하는 것 처럼 명시해둡니다 들어가서 확인해보면 막상 제품을 고르고 주문했을 때 13000원이라는 가격을 제시합니다 이건 너무 한 것 아닙니까? 시간이 너무 아깝습니다 신고를 할 수 있게 만들어주시던지 에이블리 관계자가 쇼핑몰이 이런 행위를 하지 않도록 단속해 주세요,
bal 비타민C,2,2021-01-22,16,"정말 에이블리 전부 다 좋은데 딱 하나 아쉬운 점이 있어요. 상품을 받았고 네이버 배송조회에서도 배송완료라고 처리가 되었는데 에이블리에서는 아직 배송중이라고 떠서 바로바로 리뷰를 남기지 못한다는것이 아쉬워요 ㅠㅠ 배송이 완료되면 바로 배송완료라고 업데이트가 되게 수정해 주시면 정말 좋겠습니다 ㅠ(+only 신규 회원 적용이 15000원 이상 사야 쿠폰을 쓸 수 있더라고요? 그래서 열심히 15000원 채워서 담았는데 적용 상품 밑에 있는 것들 중에서 골라야 하더라고요 ㅋㅋㅋ 그래서 다시 잘 골라서 담고 결제를 하려는데 와 14800 상품 담았다고 적용이 안되더군요^^ 뭐 이런 그지같은게 다있는지 ㅋㅋㅋㅋㅋㅋㅋㅋ 이럴거면 거기에다가 15000원 이상 상품만 놓으시지 9천원 13000,14800 상품들 왜있는건데요? 진짜 이해 안되네요 ㅋㅋㅋㅋㅋ 수정좀 빠른 시일내에 부탁드립니다. 리뷰를 읽긴 하시는건지 참;;)",
행복한 연이,2,2021-01-11,14,"진짜 여기 상점들은 무슨 고객을 호구로 보나요? 상품준비중만 일주일 넘게 걸리는 데가 엄청많네요 그래놓고 2일뒤에 오는게 정상이라고 써져있는게 젤 웃깁니다. 그러고 상품이 입고가 되지않았다면서 지맘대로 환불처리하고 진짜 어이가 없네요 이런 상점들을 평가할수 있는, 사진이나 증거를 올리고 그 상점에 대해 평가할수 있는 커뮤니케이션 공간을 만들어주셨으면 합니다. 그래야 상점들이 더 책임감을 가지고 일하지 않겠나요? 이런상태로는 어떠한 방법으로도 그 상점에 대해 다른 고객들에게 말해줄수 없으니 너무나 답답합니다.",
지현,2,2021-01-12,16,에이블리 예전엔 만원 구매시 10%쿠폰도 많이 뿌려주고 좋았는데 이제 쿠폰 찾기 어렵게 바뀌었네요 광고도 많아지고ㅜ 원래 에이블리는 쿠폰 많이주는 맛으로 썼었는데 지금은 쿠폰도 딱히 쓸데가 없어서 잘 사용안하게 되네요.. 예전처럼 쿠폰 많이 뿌려주세오..,
김은아,2,2021-02-11,0,쿠폰을 여러개를 사용 할 수 있었으면 좋겠어요.,
박현지,2,2021-02-23,0,쿠폰가지고 장난질 좀 치지마세요,
주미,2,2021-01-14,0,"이쁜것도 많고 이번에 케이스부분에 갤럭시 추가해쥬신것두 너무 감사한데요ㅜ, 저는 갤럭시 A 인데, 갤노트랑 S 만 있더라구요ㅠㅠ 제 기종만 포함되면 맨날 케이스만 살텐데 아쉬워서요ㅠㅠ 이것 좀 제발..............",
멍멍푹신,2,2021-02-07,0,에이블리 무료배송 이라길래..타 사이트나 앱과 동일 가격 측면으로 배송비 무료 제공 인줄 알았는데 그건 아니네요..ㅠ.ㅜ 가격이 더 붙네요...,
Shuka l,2,2021-04-15,0,에이블리에서 요즘 말랑이나 팝잇이 유행한다해서 팝잇이랑 만두 말랑이를 샀는데 팝잇은 괜찮은데 만두말랑이가 터져서 왔더라고요 그래서 제가 에이블리에서 안사고 직구를 하는데 진짜 이런거 없게해주세요 제발,
라라씌,2,2021-02-23,0,개념없는 판매자 있음 주문 18일 일방적취소,
성은,2,2019-11-24,2,무료배송이라는 점에 끌려서 사용해보앗습니다. 그런데 보니까 다른어플에서 판매하는것보다 비싸길래 비교해봣더니 결국 상품에 배송비를 붙여서 판매하더라구요 결국엔 무료배송이 아닌거 아닙니까...? 그리고 제가 잘 못찾는건지 하나의 매장에서 원하는 옷 찾기가 너무 어렵네요ㅠ 구분도 잘안되어잇고.. 첫구매 할인만 받고 안쓸생각입니다.,"ABLY Corp., Inc.2019년 11월 26일안녕하세요 고객님, 에이블리를 찾아주셔서 감사합니다. 먼저 이용에 불편을 드려 대단히 죄송합니다. 자체 배송하는 셀러를 대상으로 현재 가격 정찰제를 도입하여, 자사몰과 에이블리 판매 가격을 동일하게 맞추도록 규정되어있습니다. 관련해서 주기적으로 가격 모니터링을 실시하고, 이를 어길시에 해당 마켓에게는 페널티를 부여하고 있습니다. 차이가 났던 마켓이름을 support@a-bly.com로 제보해주신다면 해당 마켓에 패널티를 부여하도록 하겠습니다. 감사합니다."
강민주,2,2019-03-07,5,"옷이 진짜 예쁘고 무료배송이라는 메리트가 커서 이용중이었는데 최근 꽤나 실망스러워 이제 다른 앱으로 갈아타려고 합니다. 개강기념으로 옷을 50만원어치 샀는데 vip로 승급만 시켜주고 다른 혜택은 없네요. 이건 아무렇지도 않지만 매번 기본 일주일은 넘는 배송기간, 배송출발 전 주문취소를 하려면 문의를 통해 허가를 받아야 할 수 있다는 점이 사용하면서 꽤 크게 불편함이 느껴졌습니다. 문의에 대한 답변 또한 매우 늦게 오고요. 기본적으로 하루 넘게 걸러 오는 것 같습니다. 정말정말 옷 예쁜거 하나 보고 버텨왔는데 이제는 참지 못하겠습니다..","ABLY Corp., Inc.2019년 3월 8일먼저 에이블리를 이용해 주셔서 감사합니다! 고객님께서 제안해주신 부분을 반영하여, 이용에 좀 더 편리할 수 있도록 수정하겠습니다. 앞으로도 고객님이 더 편리하게 이용하실 수 있는 에이블리가 되도록 더 노력하겠습니다 :) 고객님의 소중한 리뷰 정말 감사합니다."
은은자매,2,2021-02-10,0,아직 구매한적은 없지만 꼭 구매를 해볼껍니다,
마덕춘,2,2020-01-20,9,"인스타마켓, 블로그마켓들이 많아서 그런지 다 똑같음 스타일이. 색감이나 디테일한 부분은 안 보여줌 마켓순위 1위에서 16위까지는 그냥 다 같은 사람이 찍은건가 싶을정도임 검은머리 약간 웨이브져서 상의 앞을 다가림 그리고 엉덩이는 뒤로뺌 1~3위는 그냥 세쌍둥이 목걸이마저 비슷함 이렇게 마켓들이 다양성이 없음","ABLY Corp., Inc.2020년 1월 23일안녕하세요 고객님, 에이블리를 이용해주셔서 감사합니다. 더욱 다양한 유형의 마켓들이 입점할 수 있도록 노력하겠습니다. 감사합니다."
